texto;links;code_area;area
A ECONOMIA INSTITUCIONAL DE THORSTEIN VEBLEN E A ECONOMIA COMPORTAMENTAL DE DANIEL KAHNEMAN & AMOS TVERSKY: UMA ANÁLISE DE PONTOS CONVERGENTES;https://www.anpec.org.br/encontro/2019/submissao/files_I/i1-927623096775835ccc93afe8e3f208fb.docx;i1;Área 1 - História do Pensamento Econômico e Metodologia
DAVIDSON E SEARLE NO DEBATE METODOLÓGICO DA ILUSTRÍSSIMA DE 2016: NOVAS CONTRIBUIÇÕES A UMA ANTIGA DISCUSSÃO;https://www.anpec.org.br/encontro/2019/submissao/files_I/i1-7f2a7f8468bf4f1702cb596729abef42.pdf;i1;Área 1 - História do Pensamento Econômico e Metodologia
ECONOMIC THEORY AND (ONTOLOGICAL) REDUCTIONISM: SOME PITFALLS IN THE ROAD OF THE MICROFOUNDATIONS PROJECT;https://www.anpec.org.br/encontro/2019/submissao/files_I/i1-739b3663a1b3eb7f6a6c05fce8d75105.pdf;i1;Área 1 - História do Pensamento Econômico e Metodologia
GENDER AND RACE ANALYSIS IN HETERODOX JOURNALS: A BIBLIOMETRICS STUDY;https://www.anpec.org.br/encontro/2019/submissao/files_I/i1-081bdc15fdcd3f43114f9411279ad950.pdf;i1;Área 1 - História do Pensamento Econômico e Metodologia
INTEGRIDADE CIENTÍFICA NOS PERIÓDICOS BRASILEIROS DA ÁREA DE ECONOMIA;https://www.anpec.org.br/encontro/2019/submissao/files_I/i1-4d65f7a001c7d586f1d08d939468dc10.pdf;i1;Área 1 - História do Pensamento Econômico e Metodologia
JOHN MAYNARD KEYNES BETWEEN OLD AND NEW INSTITUTIONALISM;https://www.anpec.org.br/encontro/2019/submissao/files_I/i1-1018508562ac4d2a35b5fe6a8c8315a8.pdf;i1;Área 1 - História do Pensamento Econômico e Metodologia
O LEGADO DE FRIEDRICH LIST NO SÉCULO XX E O DEBATE SOBRE INTEGRAÇÃO ECONÔMICA EUROPÉIA;https://www.anpec.org.br/encontro/2019/submissao/files_I/i1-fcbca369f8cacf7c81357eb12a651235.pdf;i1;Área 1 - História do Pensamento Econômico e Metodologia
OS SESSENTA ANOS DE FORMAÇÃO ECONÔMICA DO BRASIL: PENSAMENTO, HISTÓRIA E HISTORIOGRAFIA;https://www.anpec.org.br/encontro/2019/submissao/files_I/i1-e6503675bfaccbb6fbb3284a396d14fc.pdf;i1;Área 1 - História do Pensamento Econômico e Metodologia
PATTERNS OF INTERDISCIPLINARY CITATIONS AND ASYMMETRY BETWEEN ECONOMICS AND THE NEIGHBORING SOCIAL SCIENCES FROM 1959 TO 2018;https://www.anpec.org.br/encontro/2019/submissao/files_I/i1-440494fff9c8d57d6ab47ddcf050161a.pdf;i1;Área 1 - História do Pensamento Econômico e Metodologia
PREFERENCE, UTILITY, AND KOOPMANS'S CONTRIBUTIONS TO MODERN MACROECONOMICS;https://www.anpec.org.br/encontro/2019/submissao/files_I/i1-1ae5cce9b709096b1b86af8488648f2b.pdf;i1;Área 1 - História do Pensamento Econômico e Metodologia
REACTING TO SAMUELSON: EARLY DEVELOPMENT ECONOMICS AND THE FACTOR-PRICE EQUALIZATION THEOREM;https://www.anpec.org.br/encontro/2019/submissao/files_I/i1-073cef918cc02dc926440c3f71156f17.pdf;i1;Área 1 - História do Pensamento Econômico e Metodologia
RECONSIDERING FRANK KNIGHT AS AN AMERICAN INSTITUTIONALIST;https://www.anpec.org.br/encontro/2019/submissao/files_I/i1-5829c3e050874d2f10df2d83f9473ae8.pdf;i1;Área 1 - História do Pensamento Econômico e Metodologia
RETÓRICA E EVIDÊNCIA EMPÍRICA: A METODOLOGIA DA ECONOMIA À LUZ DE UM DIÁLOGO ARIDA-MCCLOSKEY;https://www.anpec.org.br/encontro/2019/submissao/files_I/i1-3f1128acb8e9519772f3fa097aa2f465.pdf;i1;Área 1 - História do Pensamento Econômico e Metodologia
ROBERT TORRENS, THE QUANTITATIVE METHOD AND THE GENERAL GLUT CONTROVERSY;https://www.anpec.org.br/encontro/2019/submissao/files_I/i1-268a5fda5dba0216f17fa1bc124d1733.pdf;i1;Área 1 - História do Pensamento Econômico e Metodologia
TO RANDOMIZE OR TO NOT RANDOMIZE? 1970S PRINCETONIAN SOLUTIONS FOR SELECTION BIAS;https://www.anpec.org.br/encontro/2019/submissao/files_I/i1-e63f3239eddc526b2be0235346712b59.pdf;i1;Área 1 - História do Pensamento Econômico e Metodologia
A GUERRA DE TODOS CONTRA TODOS E A LAVA JATO: A CRISE BRASILEIRA E A VITÓRIA DO CAPITÃO JAIR BOLSONARO;https://www.anpec.org.br/encontro/2019/submissao/files_I/i2-7ccae5bba81dd4d339951f62a7c52a8e.pdf;i2;Área 2 - Economia Política
A PROPOSED MONETARY DETERMINATION OF INTERNATIONAL PRICES;https://www.anpec.org.br/encontro/2019/submissao/files_I/i2-b0060ee8e9930ef0996aac101600cc69.docx;i2;Área 2 - Economia Política
NOTAS CRÍTICAS SOBRE O PAPEL DO DINHEIRO NO DEBATE MARXISTA DA INFLAÇÃO;https://www.anpec.org.br/encontro/2019/submissao/files_I/i2-0cfacf831159858455ccfc4d14938662.pdf;i2;Área 2 - Economia Política
O MÉTODO DIALÉTICO E A ESTRUTURA DE O CAPITAL: NOTAS PARA UM DEBATE;https://www.anpec.org.br/encontro/2019/submissao/files_I/i2-361de1ab618adf765ef0034960264d22.docx;i2;Área 2 - Economia Política
THE LONG EXPANSION AND THE PROFIT SQUEEZE: OUTPUT AND PROFIT CYCLES IN BRAZIL (1996-2016);https://www.anpec.org.br/encontro/2019/submissao/files_I/i2-e0cbb115f5e9afd0a28d88c457e282b6.pdf;i2;Área 2 - Economia Política
UNCONVENTIONAL MONETARY POLICIES: LESSONS FROM THE PAST AND THE PRESENT TO FUTURE MONETARY POLICY FRAMEWORKS;https://www.anpec.org.br/encontro/2019/submissao/files_I/i2-dd836f16676e132462d3860e2d158bf1.pdf;i2;Área 2 - Economia Política
ASPECTOS CAMBIAIS DO GOVERNO DUTRA (1946-1951);https://www.anpec.org.br/encontro/2019/submissao/files_I/i3-b4c1f29ec1b2ef6f293bb41144c3710c.pdf;i3;Área 3 - História Econômica
